Round 1
Tee No. 1
"11:19 AM,Chris Naegel,Dylan Meyer"
"11:30 AM,Andrew Johnston,Phil Mickelson"
"11:41 AM,Zach Johnson,Paul Casey"
"11:52 AM,Louis Oosthuizen,Patrick Cantlay"
"12:03 PM,Aaron Baddeley,Xander Schauffele"
"12:14 PM,Bryson DeChambeau,Hideki Matsuyama"
"12:25 PM,Tyrrell Hatton,Patrick Reed"
"12:36 PM,Branden Grace,Jimmy Walker"
"12:47 PM,Brendan Steele,Will Grimmer"
"12:58 PM,Ryan Fox,Calum Hill"
"1:09 PM,Mickey DeMorat,Russell Knox"
"1:20 PM,Patrick Rodgers,Brian Harman"
"1:31 PM,Tyler Duncan,Jason Dufner"
"1:42 PM,Justin Thomas,Pat Perez"
"1:53 PM,Jim Furyk,Alexander Noren"
"2:04 PM,Rafael Cabrera Bello,Charles Howell III"
"2:15 PM,Matthew Fitzpatrick,Marc Leishman"
"2:26 PM,Rickie Fowler,Russell Henley"
"2:37 PM,Ian Poulter,Brooks Koepka"
"2:48 PM,Justin Rose,Henrik Stenson"
"2:59 PM,Tommy Fleetwood,Charley Hoffman"
"3:10 PM,Scott Piercy,Dustin Johnson"
Round 4
Tee No. 1
"8:21 AM,Andrew Johnston"
"8:32 AM,Byeong Hun An,Patrick Rodgers"
"8:43 AM,Phil Mickelson,Rickie Fowler"
"8:54 AM,Ross Fisher,Tim Wilkinson"
"9:05 AM,Tyler Duncan,Calum Hill"
"9:16 AM,Kevin Chappell,Mickey DeMorat"
"9:27 AM,Jimmy Walker,Hideki Matsuyama"
"9:38 AM,Cameron Wilson,Jason Dufner"
"9:49 AM,Will Grimmer,Aaron Baddeley"
"10:00 AM,Dean Burmester,Brian Harman"
"10:11 AM,Patrick Cantlay,Sam Burns"
"10:22 AM,Peter Uihlein,Luis Gagne"
"10:33 AM,Matthieu Pavon,Bill Haas"
"10:44 AM,Marc Leishman,Alexander Noren"
"10:55 AM,Pat Perez,Louis Oosthuizen"
"11:06 AM,Chris Naegel,Li Haotong"
"11:17 AM,Matt Parziale,Steve Stricker"
"11:28 AM,Brandt Snedeker,Jhonattan Vegas"
"11:39 AM,Charles Howell III,Rafael Cabrera Bello"
"11:50 AM,Brendan Steele,Scott Piercy"
"12:01 PM,Tommy Fleetwood,Russell Henley"
"12:12 PM,Russell Knox,Ryan Fox"
"12:23 PM,Paul Casey,Francesco Molinari"
"12:34 PM,Matthew Fitzpatrick,Justin Thomas"
"12:45 PM,Bryson DeChambeau,Xander Schauffele"
"12:56 PM,Zach Johnson,Webb Simpson"
"1:07 PM,Gary Woodland,Charley Hoffman"
"1:18 PM,Ian Poulter,Branden Grace"
"1:29 PM,Tyrrell Hatton,Dylan Meyer"
"1:40 PM,Brian Gay,Jim Furyk"
"1:51 PM,Patrick Reed,Kiradech Aphibarnrat"
"2:02 PM,Henrik Stenson,Justin Rose"
"2:13 PM,Dustin Johnson,Brooks Koepka"
"2:24 PM,Tony Finau,Daniel Berger"
